id	picture	name	price	authority	date	controller	article_violated	type	source	summary
11	https://www.privacyaffairs.com/wp-content/uploads/2019/10/germany.svg	Germany	195407	Data Protection Authority of Berlin	09/19/2019	Delivery Hero	Art. 15 GDPR|Art. 17 GDPR|Art. 21 GDPR	Non-compliance with subjects' rights protection safeguards	https://www.datenschutz-berlin.de/fileadmin/user_upload/pdf/pressemitteilungen/2019/20190919-PM-Bussgelder.pdf	The Company had retained the personal data of customers who had expressed their desire to discontinue receiving emails from the company. Eight customers complained to have received such emails, despite not having solicited them. Moreover, the company refused to share information with five subjects regarding their rights to withdraw consent in the processing of personal information.
12	https://www.privacyaffairs.com/wp-content/uploads/2019/10/belgium.svg	Belgium	10000	Belgian Data Protection Authority (APD)	09/19/2019	Merchant	Art. 5 (1) c) GDPR	Failure to comply with data processing principles	https://www.sudinfo.be/id141981/article/2019-09-19/un-commercant-recu-une-amende-de-10000-euros-pour-avoir-voulu-creer-une-carte-de	A merchant was found guilty of trying to create a customer card using an electronic identity card. In doing so, the merchant would have needed access to personal information on the electronic identity card, including photo and barcode. The fine was 10.000 euros.
13	https://www.privacyaffairs.com/wp-content/uploads/2019/10/republic-of-poland.svg	Poland	644780	Polish National Personal Data Protection Office (UODO)	09/10/2019	Morele.net	Art. 32 GDPR	Failure to implement sufficient measures to ensure information security	https://uodo.gov.pl/decyzje/ZSPR.421.2.2019	Morele.net was sanctioned with a fine of PLN 2.8 million because it hadn’t ensured the proper security standards of customers’ data. As a consequence, more than 2.2 million people had their personal data accessed illegally.
14	https://www.privacyaffairs.com/wp-content/uploads/2019/10/austria.svg	Austria	50000	Austrian Data Protection Authority (DSB)	08/30/2019	Medical Company	Art. 13 GDPR|Art. 37 GDPR	Information obligation non-compliance	https://apps.derstandard.at/privacywall/story/2000107377808/fussballerinnen-nackt-gefilmt-mostviertler-trainer-muss-strafe-zahlen	The company was fined because it had refused to comply with the obligation of appointing a data protection officer.
15	https://www.privacyaffairs.com/wp-content/uploads/2019/10/bulgaria.svg	Bulgaria	2600000	Data Protection Commission of Bulgaria (KZLD)	08/28/2019	National Revenue Agency	Art. 32 GDPR	Failure to implement sufficient measures to ensure information security	https://www.cpdp.bg/index.php?p=news_view&aid=1519	Because of the inappropriate handling of personal data, more than 6 million individuals had their data hacked. This informational leak was a direct cause of the company&#8217;s security laxity. 
16	https://www.privacyaffairs.com/wp-content/uploads/2019/10/bulgaria.svg	Bulgaria	511000	Data Protection Commission of Bulgaria (KZLD)	08/28/2019	DSK Bank	Art. 32 GDPR	Failure to implement sufficient measures to ensure information security	https://www.dvi.gov.lv/lv/zinas/datu-valsts-inspekcija-piemero-7000-eiro-lielu-naudas-sodu-internetveikalam-par-personas-datu-apstrades-parkapumiem/	Data leakage due to the inappropriate security and organizational measures of the company. Information related to more than 23.000 credits records belonging to more than 33.000 customers were made public. The data included names, ID numbers, biometric data, addresses, and copies of identity cards.
17	https://www.privacyaffairs.com/wp-content/uploads/2019/10/latvia.svg	Latvia	7000	Data State Inspectorate (DSI)	08/26/2019	Online services provider	Art. 17 GDPR	Non-compliance with subjects' rights protection safeguards	https://www.dvi.gov.lv/lv/zinas/datu-valsts-inspekcija-piemero-7000-eiro-lielu-naudas-sodu-internetveikalam-par-personas-datu-apstrades-parkapumiem/	The merchant had ignored a client’s demands to stop processing personal data, in particular, the phone number. The merchant had continued sending the subject advertising messages to the subject&#8217;s phone number.
18	https://www.privacyaffairs.com/wp-content/uploads/2019/10/sweden.svg	Sweden	18630	Data Protection Authority of Sweden	08/20/2019	Skellefteå school	Art. 5 (1) c) GDPR|Art. 9 GDPR|Art. 35 GDPR|Art. 36 GDPR	Non-compliance with lawful basis for data processing	https://www.datainspektionen.se/globalassets/dokument/beslut/facial-recognition-used-to-monitor-the-attendance-of-students.pdf	A school attempted to introduce the use of facial recognition software to facilitate the attendance process of students. The school was ultimately fined because the means used to monitor attendance were disproportionate to the goal itself. Moreover, students and their parents couldn’t freely withdraw consent from being monitored to validate attendance. Furthermore, one case of processing activity presented elevated risks since it involved children dependent on the high-school board. Ultimately, the school didn’t observe Art. 35 of the GDPR.
19	https://www.privacyaffairs.com/wp-content/uploads/2019/10/spain.svg	Spain	60000	Spanish Data Protection Authority (AEPD)	08/16/2019	Avon Cosmetics	Art. 6 GDPR	Non-compliance with lawful basis for data processing	https://www.aepd.es/resoluciones/PS-00159-2019_ORI.pdf	A client had complained that AVOND COSMETICS hadn’t observed the law when it processed his personal data erroneously. His identity wasn’t properly verified, which led to the erroneous matching of that client with a register of claims. As a result, the client wasn’t able to work with his bank. Moreover, a third-party utilized the client’s personal data unlawfully.
20	https://www.privacyaffairs.com/wp-content/uploads/2019/10/austria.svg	Austria	11000	Austrian Data Protection Authority (DSB)	07/31/2019	Private individual (football coach)	Art. 6 GDPR	Non-compliance with lawful basis for data processing	https://apps.derstandard.at/privacywall/story/2000107377808/fussballerinnen-nackt-gefilmt-mostviertler-trainer-muss-strafe-zahlen	A soccer coach was fined for having covertly filmed female players while they were taking showers. This had taken place for many years.
21	https://www.privacyaffairs.com/wp-content/uploads/2019/10/greece.svg	Greece	150000	Hellenic Data Protection Authority (HDPA)	07/30/2019	PWC Business Solutions	Art. 5 (1) GDPR|Art. 5 (2) GDPR|Art. 6 (1) GDPR|Art. 13 (1) c) GDPR|Art. 14 (1) c) GDPR	Non-compliance with lawful basis for data processing	https://www.dpa.gr/pls/portal/docs/PAGE/APDPX/ENGLISH_INDEX/DECISIONS/SUMMARY%20OF%20DECISION%2026_2019%20(EN).PDF	The company unlawfully processed the employer&#8217;s data while creating the illusion that it acted under the legal basis of consent. Whereas, the company was using a different legal basis. This is a strict violation of the transparency principle. Moreover, the company violated the accountability principle when it failed to bring evidence related to the proper assessment of the employer&#8217;s data using the right legal bases. 
22	https://www.privacyaffairs.com/wp-content/uploads/2019/10/france.svg	France	180000	French Data Protection Authority (CNIL)	07/25/2019	Active Assurances	Art. 32 GDPR	Failure to implement sufficient measures to ensure information security	https://www.legifrance.gouv.fr/affichCnil.do?id=CNILTEXT000038810992	The company had allowed for personal data belonging to clients (including copies of the driver’s license) to be publicized online. Apparently, unauthorized access was detected, and the fault lies with the inappropriate security measures.
23	https://www.privacyaffairs.com/wp-content/uploads/2019/10/united-kingdom.svg	United Kingdom	0	Information Commissioner (ICO)	07/09/2019	Marriott International, Inc	Art. 32 GDPR	Failure to implement sufficient measures to ensure information security	https://ico.org.uk/about-the-ico/news-and-events/news-and-blogs/2019/07/statement-intention-to-fine-marriott-international-inc-more-than-99-million-under-gdpr-for-data-breach/	While the trial hasn’t ended yet, the ICO intends to fine the company. This is in accordance with Art. 32 of the GDPR, which the company allegedly infringed in a cyber-incident in November 2018. The incident involved the public exposal of personal records belonging to over 339 million people, out of which 31 million were residents of the European Economic Area. This vulnerability is believed to have been present in the Starwood hotels group, which Marriott International acquired. Due to the inappropriate and insufficient attention paid to the security of the systems, the ICO believes a fine is in order.<strong>Notice:</strong> Marriott is facing a fine of €110,390,200, but this is not yet final. As such, it’s not included in our statistics dashboard.
24	https://www.privacyaffairs.com/wp-content/uploads/2019/10/united-kingdom.svg	United Kingdom	0	Information Commissioner (ICO)	07/08/2019	British Airways	Art. 32 GDPR	Failure to implement sufficient measures to ensure information security	https://ico.org.uk/about-the-ico/news-and-events/news-and-blogs/2019/07/ico-announces-intention-to-fine-british-airways/	The ICO notified the British Airways of its intention to issue a fine worth 183.39 million pounds because of an alleged infringement of Art. 31 of the GDPR. The reason for this is related to an incident which the company reported in September 2018, when the British Airways website had diverted the users’ traffic to a dangerous website. The hackers in charge of this website had stolen the personal data of more than 500.000 customers. The company had poor security mechanisms to prevent such cyber-attacks from happening.<strong>Notice:</strong> British Airways is facing a fine of €204,600,000, but this is not yet final. As such, it’s not included in our statistics dashboard.
25	https://www.privacyaffairs.com/wp-content/uploads/2019/10/romania.svg	Romania	3000	Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP)	07/05/2019	Legal Company & Tax Hub SRL	Art. 32 GDPR	Failure to implement sufficient measures to ensure information security	https://www.dataprotection.ro/?page=2019%20A%20treia%20amenda%20in%20aplicarea%20RGPD&lang=ro	The company had not imposed sufficient security measures, which led to the unauthorized access of personal information related to the people who had made transactions with the website avocatoo.ro. This information includes names, emails, phone numbers, jobs, surnames, mailing addresses, and transaction details). Documents dated 10th of November 2018 – 1st of February 2019 had become publicly accessible to anyone. The company was sanctioned following a notification by the National Supervisory Authority when transaction details were publicly accessible via two links. 
26	https://www.privacyaffairs.com/wp-content/uploads/2019/10/romania.svg	Romania	15000	Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP)	07/02/2019	World Trade Center Bucharest SA	Art. 32 GDPR	Failure to implement sufficient measures to ensure information security	https://www.dataprotection.ro/index.jsp?page=O_noua_amenda_GDPR&lang=ro	A printed checklist used to verify the attendance of breakfast customers (approx. 46 clients) was photographed by unauthorized people. As a result, the personal data of those clients was disclosed to the public. The operator working for the hotel was sanctioned because of insufficient security measures.
27	https://www.privacyaffairs.com/wp-content/uploads/2019/10/romania.svg	Romania	130000	Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP)	06/27/2019	Unicredit Bank SA	Art. 25 (1) GDPR|Art. 5 (1) c) GDPR	Failure to implement sufficient measures to ensure information security	https://www.dataprotection.ro/?page=Comunicat_Amenda_Unicredit&lang=ro	The Company was issued a fine because it had failed to provide the necessary security and organization measures in two cases. Firstly, it failed in the appropriate determination of the data processing means. Secondly, it failed in the appropriate implementation of necessary security safeguards, which led to the public disclosure of the personal data of over 337.042 people.
28	https://www.privacyaffairs.com/wp-content/uploads/2019/10/hungary.svg	Hungary	15150	Hungarian National Authority for Data Protection and the Freedom of Information (NAIH)	06/25/2019	Budapest Police Command	Art. 33 GDPR	Information obligation non-compliance	https://www.naih.hu/files/NAIH-2019-2471-hatarozat.pdf	The data controllers didn’t exert sufficient rigorousness when handling personal client data, which led to the displacement of a flash memory stick with personal data.
29	https://www.privacyaffairs.com/wp-content/uploads/2019/10/netherlands.svg	Netherlands	460000	Dutch Supervisory Authority for Data Protection (AP)	06/18/2019	Hague Hospital	Art. 32 GDPR	Failure to implement sufficient measures to ensure information security	https://autoriteitpersoonsgegevens.nl/nl/nieuws/haga-beboet-voor-onvoldoende-interne-beveiliging-pati%C3%ABntendossiers	After a serious investigation, the DDPA surmised that the Hague Hospital failed to provide the appropriate security measures for possession of patient records. This investigation had started following several events when multiple staff hospital members had checked the personal data of a Dutch person. Measures were taken, and the hospital was warned – it would have to update its security measures by the 2nd of October 2019 or it would incur e penalty of 100.000 EUR every two weeks.
30	https://www.privacyaffairs.com/wp-content/uploads/2019/10/france.svg	France	20000	French Data Protection Authority (CNIL)	06/13/2019	Uniontrad Company	Art. 5 (1) c) GDPR|Art. 12 GDPR|Art. 13 GDPR|Art. 32 GDPR	Non-compliance with lawful basis for data processing	https://www.legifrance.gouv.fr/affichCnil.do?oldAction=rechExpCnil&id=CNILTEXT000038629823&fastReqId=946473298&fastPos=1	Complaints from the employees were received that they were unlawfully filmed in the workspace.  The company failed to observe the rules pertaining to the unlawful filming of employees all the time, and the necessity of providing information related to the data processing to the employees. The CNIL performed an audit in October 2018, and the company wasn’t observing the data protection laws. Therefore, fines were issued.
31	https://www.privacyaffairs.com/wp-content/uploads/2019/10/spain.svg	Spain	250000	Spanish Data Protection Authority (AEPD)	06/11/2019	Professional Football League (LaLiga)	Art. 5 (1) a)|Art. 7 (3) GDPR	Information obligation non-compliance	https://www.eldiario.es/tecnologia/Agencia-Proteccion-Datos-Liga-microfono_0_908859408.html#click=https://t.co/RI3qZzucaB	A fine was issued to the National Football League (LaLiga) because it had failed to inform users of the implications contained within the app it offered. This app remotely accessed the users&#8217; microphones once every minute to check pubs screening football matches. The AEPD thinks that the users were not sufficiently informed of this. Moreover, the users did not have the adequate possibility to withdraw their consent, once given.
32	https://www.privacyaffairs.com/wp-content/uploads/2019/10/denmark.svg	Denmark	200850	Danish Data Protection Authority (Datatilsynet)	06/03/2019	IDdesign A/S	Art. 5 (1) e) GDPR|Art. 5 (2) GDPR	Failure to comply with data processing principles	https://www.datatilsynet.dk/tilsyn-og-afgoerelser/afgoerelser/2019/jun/tilsyn-med-iddesigns-behandling-af-personoplysninger/	After an inspection in 2018 when irregularities were noticed, the company IDdesign was fined. The company had overused the data of over 380.000 customers for a longer period of time than they were allowed to, as per the initial goals of the data processing. Moreover, the company had no clear deadlines regarding the deletion of personal data. The controller had also ignored the necessity of having a clear policy on the data deletion procedures.
33	https://www.privacyaffairs.com/wp-content/uploads/2019/10/belgium.svg	Belgium	2000	Belgian Data Protection Authority (APD)	05/28/2019	A mayor	Art. 5 (1) b) GDPR|Art. 6 GDPR	Several	https://www.autoriteprotectiondonnees.be/news/lautorite-de-protection-des-donnees-prononce-une-sanction-dans-le-cadre-dune-campagne	A mayor was fined for having misused people’s personal data during a political campaign.
34	https://www.privacyaffairs.com/wp-content/uploads/2019/10/france.svg	France	400000	French Data Protection Authority (CNIL)	05/28/2019	SERGIC	Art. 32 GDPR	Failure to implement sufficient measures to ensure information security	https://www.legifrance.gouv.fr/affichCnil.do?oldAction=rechExpCnil&id=CNILTEXT000038552658&fastReqId=119744754&fastPos=1	The company was fined because of two reasons – the complete lack of security measures, and excessive data storage. Regarding the former reason, personal data, including health cards, IDs, divorce judgments, and account statements were available online with no authentication procedure. Moreover, the company breached the data storage deadline it had in place and kept clients&#8217; data for more than it should have.
35	https://www.privacyaffairs.com/wp-content/uploads/2019/10/hungary.svg	Hungary	92146	Hungarian National Authority for Data Protection and the Freedom of Information (NAIH)	05/23/2019	Organizer of SZIGET festival and VOLT festival	Art. 6 GDPR|Art. 5 (1) b) GDPR|Art. 13 GDPR	Non-compliance with lawful basis for data processing and information obligation non-compliance	https://www.naih.hu/files/NAIH-2019-55_hatarozat.pdf	The subjects had not been informed about the data processing, and the data controllers had not complied with the principle of purpose limitation.
36	https://www.privacyaffairs.com/wp-content/uploads/2019/10/lithuania.svg	Lithuania	61500	Lithuanian Data Protection Authority (VDAI)	05/16/2019	UAB MisterTango	Art. 5 GDPR|Art. 32 GDPR|Art. 33 GDPR	Failure to implement sufficient measures to ensure information security and information obligation non-compliance	https://www.ada.lt/go.php/lit/Imones-atsakomybes-neisvengs--lietuvoje-skirta-zenkli-bauda-uz-bendrojo-duomenu-apsaugos-reglamento-pazeidimus-/1	The data controllers had overextended his authority to collect unwarranted information about the clients. Moreover, a data breach took place from 09-10 July 2018, when payment data was made available on the internet. Moreover, the data controllers had not reported the data breach.
37	https://www.privacyaffairs.com/wp-content/uploads/2019/10/czech-republic.svg	Czech Republic	3105	Czech Data Protection Authority (UOOU)	05/13/2019	Not known	Art. 5 (1) a) GDPR|Art. 5 (1) b) GDPR|Art. 32 (1) GDPR	Not known	https://www.uoou.cz/assets/File.ashx?id_org=200144&id_dokumenty=34471	Not available.
38	https://www.privacyaffairs.com/wp-content/uploads/2019/10/germany.svg	Germany	1400	Data Protection Authority of Baden-Wuerttemberg	05/09/2019	Police Officer	Art. 6 GDPR	Non-compliance with lawful basis for data processing	https://www.baden-wuerttemberg.datenschutz.de/lfdi-baden-wuerttemberg-verhaengt-erstes-bussgeld-gegen-polizeibeamten/	The police officer acted outside the boundaries of the law when he used the Central Traffic Information System to find out the personal data of the license plate of an unknown person. Moreover, he then proceeded with a SARS inquiry, gathering personal data of the injured parties (mobile and home phone numbers). The police officer then contacted the wounded party. These actions were done outside his lawful prerogatives, and it is an infringement of personal data. However, he acted not in trying to exercise official duties but to satisfy personal inquiries. Therefore, the police department is not to blame.
39	https://www.privacyaffairs.com/wp-content/uploads/2019/10/czech-republic.svg	Czech Republic	194	Czech Data Protection Auhtority (UOOU)	05/06/2019	Public utility company	Art. 15 GDPR	Non-compliance with lawful basis for data processing	https://www.uoou.cz/assets/File.ashx?id_org=200144&id_dokumenty=34472	Not available.
40	https://www.privacyaffairs.com/wp-content/uploads/2019/10/norway.svg	Norway	120000	Norwegian Supervisory Authority (Datatilsynet)	04/29/2019	Oslo Municipal Education Department	Art. 32 GDPR	Failure to implement sufficient measures to ensure information security	https://www.datatilsynet.no/contentassets/f7246f38ff394d32bef6895bc65a4b4f/varsel-om-gebyr---oslo-kommune.pdf	The fine was issued on the following grounds: insufficient security measures established on the app launched by an Oslo school. This app allowed students and parents to contact teachers in real-time. However, unauthorized access was detected, and unknown people gained access to personal data related to students and school employees. 
41	https://www.privacyaffairs.com/wp-content/uploads/2019/10/republic-of-poland.svg	Poland	12950	Polish National Personal Data Protection Office (UODO)	04/25/2019	Sports association	Art. 6 GDPR	Non-compliance with lawful basis for data processing	https://uodo.gov.pl/pl/138/990	The sports association published personal data related to judges who had received judicial licenses online. Moreover, the exact addresses and PESEL numbers of these judges became public. As the sports association acted outside the law, fines were in order. However, there were mitigating circumstances in that the sports association immediately noticed its mistakes and attempted to remove the data from the public domain. Still, these attempts were ineffective, and a penalty was issued. The 585 judges had suffered no damage because of this, so the penalty was adjusted by the president of the Office of Competition and Consumer Protection.
42	https://www.privacyaffairs.com/wp-content/uploads/2019/10/italy.svg	Italy	50000	Italian Data Protection Authority (Garante)	04/24/2019	Movimento 5 Stelle Party	Art. 32 GDPR	Failure to implement sufficient measures to ensure information security	https://www.garanteprivacy.it/web/guest/home/docweb/-/docweb-display/docweb/9101974	Website affiliated with the Movimento 5 Stelle, an Italian political party, had a data breach in 2017. Rousseau, the data processor running these websites, had insufficient security measures in place. Garante, the Italian Data Protection Authority, issued a request to update these measures and the privacy information notice, for more transparency on the processing of data. The information issue was completed on time. However, Rousseau failed to adopt new security measures, and it was fined by Garante.
43	https://www.privacyaffairs.com/wp-content/uploads/2019/10/hungary.svg	Hungary	9400	Hungarian National Authority for Data Protection and the Freedom of Information (NAIH)	04/17/2019	Not disclosed	Art. 5 (1) a) GDPR|Art. 6 GDPR	Non-compliance with lawful basis for data processing	https://www.naih.hu/files/NAIH-2019-167-hatarozat.pdf	The data controller had no legal basis to process data in conformity with art 6.1.b, related to the claims.
44	https://www.privacyaffairs.com/wp-content/uploads/2019/10/bulgaria.svg	Bulgaria	510	Data Protection Commission of Bulgaria (KZLD)	04/08/2019	Medical service providers	Art. 5 (1) a) GDPR|Art. 9 (1) GDPR|Art. 9 (2) GDPR|Art. 6 (1) GDPR	Non-compliance with lawful basis for data processing	https://www.cpdp.bg/?p=element_view&aid=2192	The medical centers unlawfully processed personal data of the subject G.B. Software was used to generate the registration form for changing the GP, and it went ahead to the Regional Health Insurance Fund. After it arrived at another medical center, it was concluded that all parts had taken part in the unlawful processing of data.
45	https://www.privacyaffairs.com/wp-content/uploads/2019/10/hungary.svg	Hungary	34375	Hungarian National Authority for Data Protection and the Freedom of Information (NAIH)	04/05/2019	Political Party - Undisclosed	Art. 33 (1) GDPR|Art. 33 (5) GDPR|Art. 34 (1) GDPR	Information obligation non-compliance	https://www.cms-lawnow.com/ealerts/2019/04/hungarian-data-authority-investigates-two-cases-of-privacy-breaches?cc_lang=en	The political party did not notify the NAIH about a data breach. Moreover, it didn’t document the data breach as per GDPR article 33.5. Therefore, the political party received a fine of HUF 11.000.000 (equivalent to 34.375 EUR). The hacker behind the breach had used a redirection attack on the official website of the political party and disclosed information about more than 6.000 people.
46	https://www.privacyaffairs.com/wp-content/uploads/2019/10/hungary.svg	Hungary	1900	Hungarian National Authority for Data Protection and the Freedom of Information (NAIH)	04/04/2019	Not disclosed	Art. 15 GDPR	Non-compliance with subjects' rights protection safeguards	https://www.naih.hu/files/NAIH_2019_133_hatarozat.pdf	A data controller failed to allow the data subject access.
47	https://www.privacyaffairs.com/wp-content/uploads/2019/10/norway.svg	Norway	170000	Norwegian Supervisory Authority (Datatilsynet)	03/29/2019	Bergen Municipality	Art. 5 (1) f) GDPR|Art. 32 GDPR	Failure to implement sufficient measures to ensure information security	https://www.datatilsynet.no/en/about-privacy/reports-on-specific-subjects/administrative-fine-of-170.000--imposed-on-bergen-municipality/	The municipality had employed insufficient security measures in protecting its computer systems. As a result, personal data related to more than 35.000 individuals became publicly accessible. In the case of a few schools, anyone could access information related to the staff, the pupils, and the employees of the school. Moreover, the municipality has received warnings about the weakness of its security measures before but chose not to do anything.
48	https://www.privacyaffairs.com/wp-content/uploads/2019/10/republic-of-poland.svg	Poland	219538	Polish National Personal Data Protection Office (UODO)	03/26/2019	Private company	Art. 14 GDPR	Information obligation non-compliance	https://uodo.gov.pl/en/553/1009	The private company was fined for having breached the information obligation in the case of personal data of several entrepreneurs. The data was taken from public sources (Central Electronic Register and Information on Economic Activity) and used for commercial purposes. In accordance with Art. 14(1) – (3) of the GDPR, the company was obligated to inform all the individuals concerned about the data processing. However, the company informed only those individuals for whom it had email addresses. For the rest, the high operational costs made them ignore the information obligation.
49	https://www.privacyaffairs.com/wp-content/uploads/2019/10/bulgaria.svg	Bulgaria	5100	Data Protection Commission of Bulgaria (KZLD)	03/26/2019	A.P. EOOD	Art. 5 (1) a) GDPR|Art. 6 GDPR	Non-compliance with lawful basis for data processing	https://www.cpdp.bg/?p=element_view&aid=2191	The personal data administrator unlawfully processed personal data of subject D.D related to an Employment Contract, while the subject was imprisoned.
50	https://www.privacyaffairs.com/wp-content/uploads/2019/10/portugal.svg	Portugal	2000	Portuguese Data Protection Authority (CNPD)	03/25/2019	Not available	Art. 15 GDPR	Non-compliance with subjects' rights protection safeguards	https://www.cnpd.pt/bin/decisoes/Delib/DEL_2019_222.pdf	Not available
51	https://www.privacyaffairs.com/wp-content/uploads/2019/10/czech-republic.svg	Czech Republic	9704	Czech Data Protection Authority (UOOU)	03/21/2019	Not available	Art. 5 (1) c) GDPR|Art. 5 (1) e) GDPR	Failure to comply with data processing principles	https://www.uoou.cz/assets/File.ashx?id_org=200144&id_dokumenty=34470	The data processing had breached the storage limitation and data minimization principles of the GDPR.
52	https://www.privacyaffairs.com/wp-content/uploads/2019/10/hungary.svg	Hungary	3200	Hungarian National Authority for Data Protection and the Freedom of Information (NAIH)	03/04/2019	Not disclosed	Art. 5 (1) b) GDPR|Art. 5 (1) c) GDPR|Art. 13 (3) GDPR|Art. 17 (1) GDPR|Art. 6 (4) GDRP	Non-compliance with subjects' rights protection safeguards	https://www.naih.hu/files/NAIH-2019-2526-2-H-hatarozat.pdf	The financial institution refused the data erasure request of a customer, arguing that it was in the institution’s best interests to retain the phone number, given that the customer had debts. However, the NAIH argued that the creditor could communicate with the debtor by post, and the phone number was unnecessary. The financial institution had broken the data minimization and purpose limitation principles. A fine was issued equal to 0.025% of the institution’s annual net revenue.
53	https://www.privacyaffairs.com/wp-content/uploads/2019/10/germany.svg	Germany	50000	Data Protection Authority of Berlin	03/01/2019	N26	Art. 6 GDPR	Non-compliance with lawful basis for data processing	https://www.handelsblatt.com/finanzen/banken-versicherungen/datenspeicherung-schwarze-listen-so-bekam-n26-aerger-mit-datenschuetzern/24204544.html?ticket=ST-74688114-wDx6jUqdgkknMT7CMoQe-ap5	A bank had retained the personal data of former customers in order to create a blacklist. Apparently, they wanted to prevent those customers from opening up new accounts at their bank because they were suspected of money laundering. While the bank wanted to hand-wave away this unlawful act by appealing to the German Banking Act, the Berlin Supervisory Authority found this to be illegal.
